I;T;D;L;U
motility_egd_rt;0;0;0;0
motility_egd_rt;0,004166667;11,41372267;11,29485351;11,53259184
motility_egd_rt;0,008333333;32,82705328;32,53328237;33,1208242
motility_egd_rt;0,0125;65,46184227;64,8192646;66,10441995
motility_egd_rt;0,016666667;108,158689;106,9731441;109,3442339
motility_egd_rt;0,020833333;161,0879615;159,0741055;163,1018176
motility_egd_rt;0,025;221,7678821;218,6454324;224,8903318
motility_egd_rt;0,029166667;284,5226838;280,2590245;288,7863432
motility_egd_rt;0,033333333;361,5779687;355,5292125;367,6267249
motility_egd_rt;0,0375;434,3832718;426,6671215;442,0994221
motility_egd_rt;0,041666667;520,850261;510,1389844;531,5615376
motility_egd_rt;0,045833333;607,4828014;594,3740383;620,5915645
motility_egd_rt;0,05;688,8498299;673,4894201;704,2102398
motility_egd_rt;0,054166667;776,509815;758,625683;794,3939469
motility_egd_rt;0,058333333;860,2403012;839,3858273;881,0947752
motility_egd_rt;0,0625;970,3411162;941,1590529;999,5231795
motility_egd_rt;0,066666667;1066,826668;1033,763378;1099,889959
motility_egd_rt;0,070833333;1149,167623;1111,986408;1186,348838
motility_egd_rt;0,075;1246,882027;1205,468276;1288,295779
motility_egd_rt;0,079166667;1334,704563;1289,661413;1379,747713
motility_egd_rt;0,083333333;1442,571387;1392,023069;1493,119705
motility_egd_rt;0,0875;1508,035109;1453,184914;1562,885305
motility_egd_rt;0,091666667;1606,243185;1545,850478;1666,635892
motility_egd_rt;0,095833333;1699,90006;1634,962239;1764,837881
motility_egd_rt;0,1;1791,380387;1720,337393;1862,423381
motility_egd_rt;0,104166667;1876,07146;1799,576829;1952,566091
motility_egd_rt;0,108333333;1915,023515;1836,092596;1993,954435
motility_egd_rt;0,1125;2037,117709;1949,847219;2124,3882
motility_egd_rt;0,116666667;2095,458537;2002,421514;2188,49556
motility_egd_rt;0,120833333;2156,657911;2056,770312;2256,54551
motility_lmina_rt;0;0;0;0
motility_lmina_rt;0,004166667;10,99335215;10,89564227;11,09106202
motility_lmina_rt;0,008333333;33,10043484;32,80775395;33,39311573
motility_lmina_rt;0,0125;66,70459711;65,99483541;67,41435881
motility_lmina_rt;0,016666667;109,6084078;108,2509328;110,9658827
motility_lmina_rt;0,020833333;162,8124381;160,4695354;165,1553409
motility_lmina_rt;0,025;221,8552809;218,2259859;225,484576
motility_lmina_rt;0,029166667;284,5370939;279,5388727;289,5353152
motility_lmina_rt;0,033333333;355,5491499;348,5328196;362,5654802
motility_lmina_rt;0,0375;426,3718265;417,7010896;435,0425634
motility_lmina_rt;0,041666667;506,9248083;494,9056315;518,9439851
motility_lmina_rt;0,045833333;587,0038633;572,3564455;601,6512811
motility_lmina_rt;0,05;670,2303998;652,7803428;687,6804568
motility_lmina_rt;0,054166667;748,7361682;728,5614454;768,910891
motility_lmina_rt;0,058333333;841,9083121;817,9845543;865,8320699
motility_lmina_rt;0,0625;931,7178111;898,2404869;965,1951353
motility_lmina_rt;0,066666667;1033,657169;995,2847661;1072,029571
motility_lmina_rt;0,070833333;1132,7026;1090,061842;1175,343358
motility_lmina_rt;0,075;1213,936042;1167,781362;1260,090723
motility_lmina_rt;0,079166667;1288,797659;1238,019159;1339,576159
motility_lmina_rt;0,083333333;1369,608346;1314,008222;1425,208469
motility_lmina_rt;0,0875;1462,125184;1400,888822;1523,361545
motility_lmina_rt;0,091666667;1562,127553;1494,836351;1629,418755
motility_lmina_rt;0,095833333;1631,541512;1558,81114;1704,271885
motility_lmina_rt;0,1;1726,661535;1648,727046;1804,596024
motility_lmina_rt;0,104166667;1802,467871;1718,59489;1886,340852
motility_lmina_rt;0,108333333;1860,886584;1773,062855;1948,710314
motility_lmina_rt;0,1125;1978,645327;1882,627068;2074,663586
motility_lmina_rt;0,116666667;2103,945309;1999,189439;2208,701178
motility_lmina_rt;0,120833333;2153,704676;2044,06446;2263,344891